병원명,기관구분,주소,지역,위도,경도
고성정신요양원,정신요양시설,경상남도 고성군 마암면 남해안대로3268-92,경상남도,35.0224617199626,128.353130677167
고신대학교 의과대학,기초정신건강복지센터,부산광역시 영도구 동삼북로2 동삼1주공아파트 상가 209호,부산,35.0827747930031,129.066771719936
고운누리,정신재활시설,"대전광역시 서구 도마로25번길 54, 101호(도마동)",대전,36.3247928486904,127.373259900601
고운누리,정신재활시설,경기도 성남시 수정구 산성대로 193 금성빌딩 5층,경기,37.4373145837914,127.139591219438
고정선신경 정신의학과,기초정신건강복지센터,인천광역시 동구 인중로 377 2층,인천,37.4830777767798,126.617713459133
고정선정신건강의학과의원,중독관리통합지원센터,인천광역시 동구 인중로 377 2층 ,인천,37.4830777767798,126.617713459133
고흥군 정신건강복지센터,기초정신건강복지센터,전라남도 고흥군 등암3길 5,전라남도,34.591985497768,127.269246889792
공감플러스,정신재활시설,서울특별시 강서구 화곡로61길 130 남영빌딩 3층,서울,37.5586424541538,126.845276067546
공생하우스,정신재활시설,제주특별자치도 제주시 아봉로449-10 ,제주,33.4714745882135,126.5821288192
공주벧엘정신요양원,정신요양시설,충청남도 공주시 백제문화로 2015-20,충청남도,36.4492789829685,127.099132052435
관악구 정신건강복지센터,기초정신건강복지센터,"서울특별시 관악구 관악로 145, 3동 4층",서울,37.4782106746327,126.951501244173
관악좋은집,정신재활시설,"서울특별시 관악구 법원단지32길 5, 201호(신림동)",서울,37.4756915539728,126.924694396307
광명시자살예방센터,자살예방센터,경기도 광명시 오리로 613 광명시보건소 1층 11호,경기,37.4554109876685,126.878163858407
광양시 정신건강복지센터,기초정신건강복지센터,전라남도 광양시 광양읍 인덕로 1100,전라남도,34.9809767437071,127.583622984452
광주광역시 기초정신건강복지센터,기초정신건강복지센터,광주광역시 서구 운천로 172번길 32(상무금호보건지소 정신보건팀),광주,35.1481814656476,126.860104312855
광주광역자살예방센터,자살예방센터,"광주광역시 동구 제봉로 27, 5층",광주,35.1411424902216,126.921149792306
광주새생명보건센터,정신재활시설,광주광역시 동구 중흥로 197,광주,35.1608203028187,126.915313504195
광주정신재활센터,정신재활시설,광주광역시 북구 서하로 240-18 2층,광주,35.1863712673404,126.907207030536
광주제일병원,중독관리통합지원센터,광주광역시 남구 독립로 25-1,광주,35.1359834510961,126.901334480018
광주해피라이프,정신재활시설,광주광역시 서구 화운로 172,광주,35.1542189324639,126.877034352649
광진 오사랑의집,정신재활시설,"서울특별시 광진구 긴고랑로 36길 57-11, 301호",서울,37.5574058364273,127.091229498274
광진구정신건강복지센터,기초정신건강복지센터,서울특별시 광진구 긴고랑로 110 중곡종합건강센터 4층,서울,37.5593377255761,127.087091192357
괴산군 정신건강복지센터,기초정신건강복지센터,충청북도 괴산군 괴산읍 읍내로2길 27-10,충청북도,36.8069030424382,127.79093563474
구례군 정신건강복지센터,기초정신건강복지센터,전라남도 구례군 구례읍 동편제길30 ,전라남도,35.2159694811538,127.461797638702
구로구 정신건강복지센터,기초정신건강복지센터,서울특별시 구로구 새말로 60,서울,37.5032247869143,126.886639083503
구로구공동희망학교,정신재활시설,"서울특별시 구로구 구로중앙로18길 50, 2층",서울,37.4957655356585,126.892019888018
구미시 정신건강복지센터,기초정신건강복지센터,경상북도 구미시 선산읍 선주로 121,경상북도,36.2441790368235,128.299949075152
국립공주병원,광역정신건강복지센터,충청남도 홍성군 홍북면 충청남도대로 21,충청남도,,
국립공주병원,기초정신건강복지센터,충청남도 공주시 봉황로 123 1층,충청남도,36.4571174145938,127.1206564037
국립나주병원,기초정신건강복지센터,"광주광역시 광산구 상무대로 239-1, 3층",광주,35.1406225706742,126.793246013325
국립나주병원,기초정신건강복지센터,"광주광역시 남구 봉선로 1, 5층",광주,35.1329064682079,126.902447908848
국립나주병원,광역정신건강복지센터,전라남도 나주시 산포면 세남로 1328-31,전라남도,35.0095083960446,126.825598831771
국립나주병원,기초정신건강복지센터,전라남도 곡성군 곡성읍 곡성로,전라남도,35.2557917241262,127.268374699517
국립나주병원,기초정신건강복지센터,전라남도 나주시 건재로 211 1층,전라남도,35.051055084764,126.72375072832
국립나주병원,기초정신건강복지센터,전라남도 장흥군 장흥읍 동교1길 13,전라남도,34.6770533463189,126.906932257477
국립정신건강센터,중독관리통합지원센터,서울특별시 강북구 삼양로 335-1 2층,서울,37.6334143231979,127.017155278047
국립중앙의료원,기초정신건강복지센터,"서울특별시 강동구 성내로 45, 1층",서울,37.5295419850552,127.125585505976
국립춘천병원,기초정신건강복지센터,강원도 홍천군 홍천읍 신장대로5 홍천군건강증진센터 2층,강원,37.6902218742468,127.8772937235
국민건강보험공단 일산병원,기초정신건강복지센터,경기도 고양시 덕양구 고양시청로 13-6 현대빌딩 2층,경기,37.6569672416944,126.832142082947
군산의료원,중독관리통합지원센터,전라북도 군산시 백마길16,전라북도,35.9448078485591,126.809878964972
귀일정신요양원,정신요양시설,광주광역시 남구 용대로 74번길 21,광주,35.1220248886827,126.921504140118
그라따,정신재활시설,서울특별시 도봉구 도봉로 181 가길6 1층,서울,37.6837497599278,127.045096999104
그루터기,정신재활시설,제주특별자치도 제주시 원당북로65 ,제주,33.5330212783381,126.600141647479
그리스도요양원,정신요양시설,부산광역시 서구 옥천로 130번길 40,부산,35.0975123504517,129.013682464641
그린나래,정신재활시설,경상북도 상주시 만산8길 61,경상북도,36.4438520374146,128.150648787387
그린홈,정신재활시설,"서울특별시 중랑구 동일로 92길 39-21, 2층",서울,37.5843808555595,127.082222699844
글로리병원,중독관리통합지원센터,인천광역시 부평구 마장로 410번길 5 청천2동주민센터 3층,인천,37.5148734516508,126.704539761792
금촌혜민의집,정신재활시설,"경기도 파주시 조리읍 송비말길 22, 성원아파트 102동 703호",경기,37.7422396366522,126.806084454017
기독성심원,정신요양시설,충청남도 천안시 동남구 성남면 성심원길 124,충청남도,36.7539444633758,127.245791086717
기쁜우리사회 복귀시설,정신재활시설,부산광역시 영도구 함지로 33-10,부산,35.0722162881235,129.061750367721
기쁨해,정신재활시설,경기도 고양시 덕양구 고양대로 1395번길 76 3층,경기,37.657030341341,126.841410750194
길벗 ,정신재활시설,"경기도 화성시 병점로 17-7, 201호(진안동)",경기,37.2093835381581,127.036432906378
길벗둥지,정신재활시설,"서울특별시 동대문구 서울시립대로 18길 36, 1층",서울,37.5799943965664,127.053293616311
길병원,광역정신건강복지센터,인천광역시 남동구 남동대로 774번길 24,인천,37.4510392789722,126.709409851144
길정신건강센터,정신재활시설,제주특별자치도 제주시 한림읍 한림뱅디길 88-17,제주,33.4053657913908,126.279134546619
길정의료재단 대남병원,기초정신건강복지센터,"부산광역시 사상구 가야대로 196번길 51, 3층 다누림센터",부산,35.1473813660731,128.995023021355
김천시 정신건강복지센터,기초정신건강복지센터,경상북도 김천시 체육공원길 21 3층,경상북도,36.1197326583229,128.144527234471
김포한누리병원,기초정신건강복지센터,인천광역시 강화군 강화읍 충렬사로 26-1,인천,37.7372942002653,126.484858623273
꽃동네 정신요양원,정신요양시설,충청북도 음성군 맹동면 꽃동네길 22,충청북도,36.9402658781891,127.576438533261
꽃동네치료공동체,정신재활시설,세종특별자치시 부강면 노호등곡1로 237번지,세종,36.5125248544166,127.399555428264
꽃피는집,정신재활시설,대전광역시 중구 테미로 8(대흥동),대전,36.3191468332128,127.420140288216
꿈꾸는달팽이,정신재활시설,"서울특별시 구로구 디지털로 26길 110, 동일테크노타운 2차 302호",서울,37.4820341980031,126.897707247867
꿈꾸는집,정신재활시설,"서울특별시 관악구 당곡6길 65, 201호",서울,37.4929358880802,126.930776112365
꿈의둥지,정신재활시설,"인천광역시 미추홀구 소성로 318번길 18-16, 현빌리지 301호,302호",인천,,
꿈이있는사람들,정신재활시설,대구광역시 달성군 화원읍 비슬로 523길 3-26,대구,35.8053877831354,128.501435916406
꿈이있는집,정신재활시설,전라북도 전주시 덕진구 아중1길 23-3 퓨처빌B 402호,전라북도,35.8292882858755,127.171903538523
꿈터,정신재활시설,"경기도 성남시 분당구 느티로 51번길16-9, 1층",경기,37.3702198282392,127.111037615231
낑알이공동체,정신재활시설,경상북도 영천시 교촌동서길14,경상북도,35.9682535329425,128.928687866008
낑알이공동체 2호,정신재활시설,경상북도 영천시 교촌동서길14,경상북도,35.9682535329425,128.928687866008
낑알이공동체 3호,정신재활시설,경상북도 영천시 쌍계길 104,경상북도,35.962560199757,128.905703075884
나눔터,정신재활시설,"서울특별시 성북구 석관동 133-44, 태영빌딩 501호",서울,37.6130737653779,127.065279007325
나무 ,정신재활시설,"경기도 평택시 평택 4로 39, 6층",경기,36.9915932926267,127.100062700787
나비의꿈,정신재활시설,충청남도 천안시 서북구 두정중 11길 26. 5층 마천루빌딩,충청남도,36.8376840115833,127.141187701037
나사렛대학교 산학협력단,중독관리통합지원센터,충청남도 천안시 동남구 버들로 40 1층,충청남도,36.8071777710683,127.151457098785
남동정신재활시설 그루터기,정신재활시설,인천광역시 남동구 담방서로 23번길 17,인천,37.4472421766586,126.736400206411
남양집 ,정신재활시설,"경기도 화성시 동탄면 금곡로 68-6, 101호",경기,37.1667840051541,127.078938930437
